Election,HINDI,Jurisdiction,AbsenteeApplications,BallotsSent,BallotsReturned,InPersonAbsentee,
2024 General Election,61016,TOWN OF GREENWOOD - TAYLOR COUNTY,32,29,11,0,18-Oct
2024 General Election,61018,TOWN OF GROVER - TAYLOR COUNTY,22,22,9,0,18-Oct
2024 General Election,61020,TOWN OF HAMMEL - TAYLOR COUNTY,62,51,16,0,18-Oct
2024 General Election,61022,TOWN OF HOLWAY - TAYLOR COUNTY,20,20,8,0,18-Oct
2024 General Election,61024,TOWN OF JUMP RIVER - TAYLOR COUNTY,14,12,0,0,18-Oct
2024 General Election,61026,TOWN OF LITTLE BLACK - TAYLOR COUNTY,56,54,24,0,18-Oct
2024 General Election,61028,TOWN OF MAPLEHURST - TAYLOR COUNTY,11,11,4,0,18-Oct
2024 General Election,61030,TOWN OF MCKINLEY - TAYLOR COUNTY,14,11,0,0,18-Oct
2024 General Election,61032,TOWN OF MEDFORD - TAYLOR COUNTY,232,232,95,0,18-Oct
2024 General Election,61034,TOWN OF MOLITOR - TAYLOR COUNTY,20,19,6,0,18-Oct
2024 General Election,61036,TOWN OF PERSHING - TAYLOR COUNTY,12,10,0,0,18-Oct
2024 General Election,61038,TOWN OF RIB LAKE - TAYLOR COUNTY,54,54,29,0,18-Oct
2024 General Election,61040,TOWN OF ROOSEVELT - TAYLOR COUNTY,16,13,6,0,18-Oct
2024 General Election,61042,TOWN OF TAFT - TAYLOR COUNTY,15,15,9,0,18-Oct
2024 General Election,61044,TOWN OF WESTBORO - TAYLOR COUNTY,47,38,24,0,18-Oct
2024 General Election,61131,VILLAGE OF GILMAN - TAYLOR COUNTY,15,13,6,0,18-Oct
2024 General Election,61146,VILLAGE OF LUBLIN - TAYLOR COUNTY,5,4,0,0,18-Oct
2024 General Election,61176,VILLAGE OF RIB LAKE - TAYLOR COUNTY,28,25,14,0,18-Oct
2024 General Election,61181,VILLAGE OF STETSONVILLE - TAYLOR COUNTY,24,14,7,0,18-Oct
2024 General Election,61251,CITY OF MEDFORD - TAYLOR COUNTY,332,332,194,0,18-Oct
2024 General Election,62002,TOWN OF ALBION - TREMPEALEAU COUNTY,32,17,5,0,18-Oct
2024 General Election,62004,TOWN OF ARCADIA - TREMPEALEAU COUNTY,95,78,26,0,18-Oct
2024 General Election,62006,TOWN OF BURNSIDE - TREMPEALEAU COUNTY,13,10,5,0,18-Oct
2024 General Election,62008,TOWN OF CALEDONIA - TREMPEALEAU COUNTY,71,62,30,0,18-Oct
2024 General Election,62010,TOWN OF CHIMNEY ROCK - TREMPEALEAU COUNTY,17,17,10,0,18-Oct
2024 General Election,62012,TOWN OF DODGE - TREMPEALEAU COUNTY,11,11,4,0,18-Oct
2024 General Election,62014,TOWN OF ETTRICK - TREMPEALEAU COUNTY,78,75,43,0,18-Oct
2024 General Election,62016,TOWN OF GALE - TREMPEALEAU COUNTY,109,109,57,0,18-Oct
2024 General Election,62018,TOWN OF HALE - TREMPEALEAU COUNTY,65,60,15,0,18-Oct
2024 General Election,62020,TOWN OF LINCOLN - TREMPEALEAU COUNTY,18,12,0,0,18-Oct
2024 General Election,62022,TOWN OF PIGEON - TREMPEALEAU COUNTY,26,25,9,0,18-Oct
2024 General Election,62024,TOWN OF PRESTON - TREMPEALEAU COUNTY,32,25,6,0,18-Oct
2024 General Election,62026,TOWN OF SUMNER - TREMPEALEAU COUNTY,24,1,0,0,18-Oct
2024 General Election,62028,TOWN OF TREMPEALEAU - TREMPEALEAU COUNTY,128,127,64,0,18-Oct
2024 General Election,62030,TOWN OF UNITY - TREMPEALEAU COUNTY,21,19,4,0,18-Oct
2024 General Election,62121,VILLAGE OF ELEVA - TREMPEALEAU COUNTY,46,46,27,0,18-Oct
2024 General Election,62122,VILLAGE OF ETTRICK - TREMPEALEAU COUNTY,26,26,11,0,18-Oct
2024 General Election,62173,VILLAGE OF PIGEON FALLS - TREMPEALEAU COUNTY,26,9,5,0,18-Oct
2024 General Election,62181,VILLAGE OF STRUM - TREMPEALEAU COUNTY,51,50,19,0,18-Oct
2024 General Election,62186,VILLAGE OF TREMPEALEAU - TREMPEALEAU COUNTY,134,133,82,0,18-Oct
2024 General Election,62201,CITY OF ARCADIA - TREMPEALEAU COUNTY,77,76,35,0,18-Oct
2024 General Election,62206,CITY OF BLAIR - TREMPEALEAU COUNTY,67,67,48,0,18-Oct
2024 General Election,62231,CITY OF GALESVILLE - TREMPEALEAU COUNTY,120,119,51,0,18-Oct
2024 General Election,62241,CITY OF INDEPENDENCE - TREMPEALEAU COUNTY,61,58,27,0,18-Oct
2024 General Election,62265,CITY OF OSSEO - TREMPEALEAU COUNTY,96,91,55,0,18-Oct
2024 General Election,62291,CITY OF WHITEHALL - TREMPEALEAU COUNTY,70,49,17,0,18-Oct
2024 General Election,63002,TOWN OF BERGEN - VERNON COUNTY,150,121,62,0,18-Oct
2024 General Election,63004,TOWN OF CHRISTIANA - VERNON COUNTY,55,49,21,0,18-Oct
2024 General Election,63006,TOWN OF CLINTON - VERNON COUNTY,26,26,5,0,18-Oct
2024 General Election,63008,TOWN OF COON - VERNON COUNTY,66,61,36,0,18-Oct
2024 General Election,63010,TOWN OF FOREST - VERNON COUNTY,8,0,0,,18-Oct
2024 General Election,63012,TOWN OF FRANKLIN - VERNON COUNTY,53,45,20,0,18-Oct
2024 General Election,63014,TOWN OF GENOA - VERNON COUNTY,66,55,17,0,18-Oct
2024 General Election,63016,TOWN OF GREENWOOD - VERNON COUNTY,7,0,0,,18-Oct
2024 General Election,63018,TOWN OF HAMBURG - VERNON COUNTY,65,56,13,0,18-Oct
2024 General Election,63020,TOWN OF HARMONY - VERNON COUNTY,40,36,16,0,18-Oct
2024 General Election,63022,TOWN OF HILLSBORO - VERNON COUNTY,34,21,0,0,18-Oct
2024 General Election,63024,TOWN OF JEFFERSON - VERNON COUNTY,58,37,0,0,18-Oct
2024 General Election,63026,TOWN OF KICKAPOO - VERNON COUNTY,39,33,16,0,18-Oct
2024 General Election,63028,TOWN OF LIBERTY - VERNON COUNTY,15,9,0,0,18-Oct
2024 General Election,63030,TOWN OF STARK - VERNON COUNTY,21,14,5,0,18-Oct
2024 General Election,63032,TOWN OF STERLING - VERNON COUNTY,40,31,8,0,18-Oct
2024 General Election,63034,TOWN OF UNION - VERNON COUNTY,37,32,10,0,18-Oct
2024 General Election,63036,TOWN OF VIROQUA - VERNON COUNTY,143,126,44,0,18-Oct
2024 General Election,63038,TOWN OF WEBSTER - VERNON COUNTY,46,37,0,0,18-Oct
2024 General Election,63040,TOWN OF WHEATLAND - VERNON COUNTY,32,25,7,0,18-Oct
2024 General Election,63042,TOWN OF WHITESTOWN - VERNON COUNTY,35,34,13,0,18-Oct
2024 General Election,63111,VILLAGE OF CHASEBURG - VERNON COUNTY,6,0,0,,18-Oct
2024 General Election,63112,VILLAGE OF COON VALLEY - VERNON COUNTY,56,51,25,0,18-Oct
2024 General Election,63116,VILLAGE OF DE SOTO - MULTIPLE COUNTIES,16,16,9,0,18-Oct
2024 General Election,63131,VILLAGE OF GENOA - VERNON COUNTY,7,7,2,0,18-Oct
2024 General Election,63146,VILLAGE OF LA FARGE - VERNON COUNTY,22,19,3,0,18-Oct
2024 General Election,63165,VILLAGE OF ONTARIO - MULTIPLE COUNTIES,11,11,7,0,18-Oct
2024 General Election,63176,VILLAGE OF READSTOWN - VERNON COUNTY,22,18,0,0,18-Oct
2024 General Election,63181,VILLAGE OF STODDARD - VERNON COUNTY,58,58,43,0,18-Oct
2024 General Election,63236,CITY OF HILLSBORO - VERNON COUNTY,66,53,18,0,18-Oct
2024 General Election,63286,CITY OF VIROQUA - VERNON COUNTY,473,470,285,0,18-Oct
2024 General Election,63291,CITY OF WESTBY - VERNON COUNTY,155,145,28,0,18-Oct
2024 General Election,64002,TOWN OF ARBOR VITAE - VILAS COUNTY,416,413,229,0,18-Oct
2024 General Election,64004,TOWN OF BOULDER JUNCTION - VILAS COUNTY,159,159,84,0,18-Oct
2024 General Election,64006,TOWN OF CLOVERLAND - VILAS COUNTY,103,103,48,0,18-Oct
2024 General Election,64008,TOWN OF CONOVER - VILAS COUNTY,126,124,74,0,18-Oct
2024 General Election,64010,TOWN OF LAC DU FLAMBEAU - VILAS COUNTY,282,282,143,0,18-Oct
2024 General Election,64012,TOWN OF LAND O-LAKES - VILAS COUNTY,126,126,74,0,18-Oct
2024 General Election,64014,TOWN OF LINCOLN - VILAS COUNTY,281,280,138,0,18-Oct
2024 General Election,64016,TOWN OF MANITOWISH WATERS - VILAS COUNTY,108,106,62,0,18-Oct
2024 General Election,64018,TOWN OF PHELPS - VILAS COUNTY,162,162,112,0,18-Oct
2024 General Election,64020,TOWN OF PLUM LAKE - VILAS COUNTY,100,99,67,0,18-Oct
2024 General Election,64022,TOWN OF PRESQUE ISLE - VILAS COUNTY,88,87,55,0,18-Oct
2024 General Election,64024,TOWN OF ST. GERMAIN - VILAS COUNTY,380,378,219,0,18-Oct
2024 General Election,64026,TOWN OF WASHINGTON - VILAS COUNTY,248,248,135,0,18-Oct
2024 General Election,64028,TOWN OF WINCHESTER - VILAS COUNTY,73,73,41,0,18-Oct
2024 General Election,64221,CITY OF EAGLE RIVER - VILAS COUNTY,192,192,122,0,18-Oct
2024 General Election,65002,TOWN OF BLOOMFIELD - WALWORTH COUNTY,5,5,2,0,18-Oct
2024 General Election,65004,TOWN OF DARIEN - WALWORTH COUNTY,97,96,45,0,18-Oct
2024 General Election,65006,TOWN OF DELAVAN - WALWORTH COUNTY,513,513,271,0,18-Oct
2024 General Election,65008,TOWN OF EAST TROY - WALWORTH COUNTY,459,458,223,0,18-Oct
2024 General Election,65010,TOWN OF GENEVA - WALWORTH COUNTY,637,637,333,0,18-Oct
2024 General Election,65012,TOWN OF LAFAYETTE - WALWORTH COUNTY,266,266,128,0,18-Oct
2024 General Election,65014,TOWN OF LA GRANGE - WALWORTH COUNTY,328,326,156,0,18-Oct
2024 General Election,65016,TOWN OF LINN - WALWORTH COUNTY,284,283,132,0,18-Oct
2024 General Election,65018,TOWN OF LYONS - WALWORTH COUNTY,260,256,100,0,18-Oct
2024 General Election,65020,TOWN OF RICHMOND - WALWORTH COUNTY,166,166,91,0,18-Oct
2024 General Election,65022,TOWN OF SHARON - WALWORTH COUNTY,61,61,33,0,18-Oct
2024 General Election,65024,TOWN OF SPRING PRAIRIE - WALWORTH COUNTY,228,227,110,0,18-Oct
2024 General Election,65026,TOWN OF SUGAR CREEK - WALWORTH COUNTY,406,403,191,0,18-Oct
2024 General Election,65028,TOWN OF TROY - WALWORTH COUNTY,260,259,140,0,18-Oct
2024 General Election,65030,TOWN OF WALWORTH - WALWORTH COUNTY,153,152,49,0,18-Oct
2024 General Election,65032,TOWN OF WHITEWATER - WALWORTH COUNTY,165,164,87,0,18-Oct
2024 General Election,65115,VILLAGE OF BLOOMFIELD - WALWORTH COUNTY,466,465,223,0,18-Oct
2024 General Election,65116,VILLAGE OF DARIEN - WALWORTH COUNTY,62,62,26,0,18-Oct
2024 General Election,65121,VILLAGE OF EAST TROY - WALWORTH COUNTY,425,424,218,0,18-Oct
2024 General Election,65126,VILLAGE OF FONTANA - WALWORTH COUNTY,291,289,115,0,18-Oct
2024 General Election,65131,VILLAGE OF GENOA CITY - MULTIPLE COUNTIES,181,181,67,0,18-Oct
2024 General Election,65181,VILLAGE OF SHARON - WALWORTH COUNTY,54,54,28,0,18-Oct
2024 General Election,65191,VILLAGE OF WALWORTH - WALWORTH COUNTY,218,217,113,0,18-Oct
2024 General Election,65192,VILLAGE OF WILLIAMS BAY - WALWORTH COUNTY,384,382,203,0,18-Oct
2024 General Election,65216,CITY OF DELAVAN - WALWORTH COUNTY,545,535,223,0,18-Oct
2024 General Election,65221,CITY OF ELKHORN - WALWORTH COUNTY,949,945,507,0,18-Oct
2024 General Election,65246,CITY OF LAKE GENEVA - WALWORTH COUNTY,995,992,599,0,18-Oct
2024 General Election,65291,CITY OF WHITEWATER - MULTIPLE COUNTIES,914,914,414,0,18-Oct
2024 General Election,66002,TOWN OF BARRONETT - WASHBURN COUNTY,31,30,7,0,18-Oct
2024 General Election,66004,TOWN OF BASHAW - WASHBURN COUNTY,112,109,62,0,18-Oct
2024 General Election,66006,TOWN OF BASS LAKE - WASHBURN COUNTY,32,32,18,0,18-Oct
2024 General Election,66008,TOWN OF BEAVER BROOK - WASHBURN COUNTY,74,71,39,0,18-Oct
2024 General Election,66010,TOWN OF BIRCHWOOD - WASHBURN COUNTY,93,92,47,0,18-Oct
2024 General Election,66012,TOWN OF BROOKLYN - WASHBURN COUNTY,32,31,20,0,18-Oct
2024 General Election,66014,TOWN OF CASEY - WASHBURN COUNTY,47,47,30,0,18-Oct
2024 General Election,66016,TOWN OF CHICOG - WASHBURN COUNTY,35,35,12,0,18-Oct
2024 General Election,66018,TOWN OF CRYSTAL - WASHBURN COUNTY,18,15,2,0,18-Oct
2024 General Election,66020,TOWN OF EVERGREEN - WASHBURN COUNTY,54,54,24,0,18-Oct
2024 General Election,66022,TOWN OF FROG CREEK - WASHBURN COUNTY,12,12,9,0,18-Oct
2024 General Election,66024,TOWN OF GULL LAKE - WASHBURN COUNTY,20,20,8,0,18-Oct
2024 General Election,66026,TOWN OF LONG LAKE - WASHBURN COUNTY,79,76,37,0,18-Oct
2024 General Election,66028,TOWN OF MADGE - WASHBURN COUNTY,83,79,48,0,18-Oct
2024 General Election,66030,TOWN OF MINONG - WASHBURN COUNTY,111,105,59,0,18-Oct
2024 General Election,66032,TOWN OF SARONA - WASHBURN COUNTY,21,21,7,0,18-Oct
2024 General Election,66034,TOWN OF SPOONER - WASHBURN COUNTY,87,85,23,0,18-Oct
2024 General Election,66036,TOWN OF SPRINGBROOK - WASHBURN COUNTY,36,33,21,0,18-Oct
2024 General Election,66038,TOWN OF STINNETT - WASHBURN COUNTY,19,19,7,0,18-Oct
2024 General Election,66040,TOWN OF STONE LAKE - WASHBURN COUNTY,34,33,23,0,18-Oct
2024 General Election,66042,TOWN OF TREGO - WASHBURN COUNTY,118,114,77,0,18-Oct
2024 General Election,66106,VILLAGE OF BIRCHWOOD - WASHBURN COUNTY,23,23,14,0,18-Oct
2024 General Election,66151,VILLAGE OF MINONG - WASHBURN COUNTY,25,25,17,0,18-Oct
2024 General Election,66281,CITY OF SPOONER - WASHBURN COUNTY,175,167,109,0,18-Oct
2024 General Election,66282,CITY OF SHELL LAKE - WASHBURN COUNTY,109,84,55,0,18-Oct
2024 General Election,67002,TOWN OF ADDISON - WASHINGTON COUNTY,231,230,127,0,18-Oct
2024 General Election,67004,TOWN OF BARTON - WASHINGTON COUNTY,267,266,145,0,18-Oct
2024 General Election,67006,TOWN OF ERIN - WASHINGTON COUNTY,393,393,212,0,18-Oct
2024 General Election,67008,TOWN OF FARMINGTON - WASHINGTON COUNTY,369,368,211,0,18-Oct
2024 General Election,67010,TOWN OF GERMANTOWN - WASHINGTON COUNTY,28,28,14,0,18-Oct
2024 General Election,67012,TOWN OF HARTFORD - WASHINGTON COUNTY,367,367,175,0,18-Oct
2024 General Election,67014,TOWN OF JACKSON - WASHINGTON COUNTY,451,447,239,0,18-Oct
2024 General Election,67016,TOWN OF KEWASKUM - WASHINGTON COUNTY,76,76,38,0,18-Oct
2024 General Election,67018,TOWN OF POLK - WASHINGTON COUNTY,441,440,206,0,18-Oct
2024 General Election,67022,TOWN OF TRENTON - WASHINGTON COUNTY,619,612,292,0,18-Oct
2024 General Election,67024,TOWN OF WAYNE - WASHINGTON COUNTY,170,169,86,0,18-Oct
2024 General Election,67026,TOWN OF WEST BEND - WASHINGTON COUNTY,802,623,312,0,18-Oct
2024 General Election,67131,VILLAGE OF GERMANTOWN - WASHINGTON COUNTY,2247,2240,1113,0,18-Oct
2024 General Election,67141,VILLAGE OF JACKSON - WASHINGTON COUNTY,738,731,394,0,18-Oct
2024 General Election,67142,VILLAGE OF KEWASKUM - MULTIPLE COUNTIES,364,358,161,0,18-Oct
2024 General Election,67161,VILLAGE OF NEWBURG - MULTIPLE COUNTIES,52,52,24,0,18-Oct
2024 General Election,67166,VILLAGE OF RICHFIELD - WASHINGTON COUNTY,1234,1228,687,0,18-Oct
2024 General Election,67181,VILLAGE OF SLINGER - WASHINGTON COUNTY,668,667,379,0,18-Oct
2024 General Election,67236,CITY OF HARTFORD - MULTIPLE COUNTIES,1478,1477,812,0,18-Oct
2024 General Election,67291,CITY OF WEST BEND - WASHINGTON COUNTY,3212,3195,1816,0,18-Oct
2024 General Election,68002,TOWN OF BROOKFIELD - WAUKESHA COUNTY,965,941,524,0,18-Oct
2024 General Election,68004,TOWN OF DELAFIELD - WAUKESHA COUNTY,1145,1136,605,0,18-Oct
2024 General Election,68006,TOWN OF EAGLE - WAUKESHA COUNTY,364,361,202,0,18-Oct
2024 General Election,68008,TOWN OF GENESEE - WAUKESHA COUNTY,811,805,427,0,18-Oct
2024 General Election,68014,TOWN OF MERTON - WAUKESHA COUNTY,1271,1266,630,0,18-Oct
2024 General Election,68016,TOWN OF MUKWONAGO - WAUKESHA COUNTY,1032,1019,554,0,18-Oct
2024 General Election,68022,TOWN OF OCONOMOWOC - WAUKESHA COUNTY,1449,1445,759,0,18-Oct
2024 General Election,68024,TOWN OF OTTAWA - WAUKESHA COUNTY,436,434,223,0,18-Oct
2024 General Election,68106,VILLAGE OF BIG BEND - WAUKESHA COUNTY,108,66,22,0,18-Oct
2024 General Election,68107,VILLAGE OF BUTLER - WAUKESHA COUNTY,115,115,52,0,18-Oct
2024 General Election,68111,VILLAGE OF CHENEQUA - WAUKESHA COUNTY,70,70,28,0,18-Oct
2024 General Election,68116,VILLAGE OF DOUSMAN - WAUKESHA COUNTY,333,329,216,0,18-Oct
2024 General Election,68121,VILLAGE OF EAGLE - WAUKESHA COUNTY,128,124,68,0,18-Oct
2024 General Election,68122,VILLAGE OF ELM GROVE - WAUKESHA COUNTY,975,973,496,0,18-Oct
2024 General Election,68136,VILLAGE OF HARTLAND - WAUKESHA COUNTY,1137,1129,528,0,18-Oct
2024 General Election,68146,VILLAGE OF LAC LA BELLE - MULTIPLE COUNTIES,63,63,37,0,18-Oct
2024 General Election,68147,VILLAGE OF LANNON - WAUKESHA COUNTY,166,164,83,0,18-Oct
2024 General Election,68149,VILLAGE OF LISBON - WAUKESHA COUNTY,1495,1486,682,0,18-Oct
2024 General Election,68151,VILLAGE OF MENOMONEE FALLS - WAUKESHA COUNTY,4997,4953,2583,0,18-Oct
2024 General Election,68152,VILLAGE OF MERTON - WAUKESHA COUNTY,442,425,170,0,18-Oct
2024 General Election,68153,VILLAGE OF MUKWONAGO - MULTIPLE COUNTIES,883,876,459,0,18-Oct
2024 General Election,68158,VILLAGE OF NASHOTAH - WAUKESHA COUNTY,142,118,41,0,18-Oct
2024 General Election,68161,VILLAGE OF NORTH PRAIRIE - WAUKESHA COUNTY,215,213,102,0,18-Oct
2024 General Election,68166,VILLAGE OF OCONOMOWOC LAKE - WAUKESHA COUNTY,83,83,43,0,18-Oct
2024 General Election,68171,VILLAGE OF PEWAUKEE - WAUKESHA COUNTY,1103,1096,640,0,18-Oct
2024 General Election,68172,VILLAGE OF SUMMIT - WAUKESHA COUNTY,779,779,442,0,18-Oct
2024 General Election,68181,VILLAGE OF SUSSEX - WAUKESHA COUNTY,1206,1202,535,0,18-Oct
2024 General Election,68186,VILLAGE OF VERNON - WAUKESHA COUNTY,981,975,550,0,18-Oct
2024 General Election,68191,VILLAGE OF WALES - WAUKESHA COUNTY,268,268,142,0,18-Oct
2024 General Election,68195,VILLAGE OF WAUKESHA - WAUKESHA COUNTY,1205,1197,664,0,18-Oct
2024 General Election,68206,CITY OF BROOKFIELD - WAUKESHA COUNTY,6394,6357,3238,0,18-Oct
2024 General Election,68216,CITY OF DELAFIELD - WAUKESHA COUNTY,1007,1001,519,0,18-Oct
2024 General Election,68251,CITY OF MUSKEGO - WAUKESHA COUNTY,3383,3370,1763,0,18-Oct
2024 General Election,68261,CITY OF NEW BERLIN - WAUKESHA COUNTY,5189,5154,2944,0,18-Oct
2024 General Election,68265,CITY OF OCONOMOWOC - WAUKESHA COUNTY,3048,3041,1430,0,18-Oct
2024 General Election,68270,CITY OF PEWAUKEE - WAUKESHA COUNTY,2132,2116,1085,0,18-Oct
2024 General Election,68291,CITY OF WAUKESHA - WAUKESHA COUNTY,8606,8524,4641,0,18-Oct
2024 General Election,69002,TOWN OF BEAR CREEK - WAUPACA COUNTY,29,29,9,0,18-Oct
2024 General Election,69004,TOWN OF CALEDONIA - WAUPACA COUNTY,148,147,80,0,18-Oct
2024 General Election,69006,TOWN OF DAYTON - WAUPACA COUNTY,241,239,124,0,18-Oct
2024 General Election,69008,TOWN OF DUPONT - WAUPACA COUNTY,24,23,17,0,18-Oct
2024 General Election,69010,TOWN OF FARMINGTON - WAUPACA COUNTY,512,510,319,0,18-Oct
2024 General Election,69012,TOWN OF FREMONT - WAUPACA COUNTY,54,54,23,0,18-Oct
2024 General Election,69014,TOWN OF HARRISON - WAUPACA COUNTY,14,14,6,0,18-Oct
2024 General Election,69016,TOWN OF HELVETIA - WAUPACA COUNTY,38,37,10,0,18-Oct
2024 General Election,69018,TOWN OF IOLA - WAUPACA COUNTY,103,99,63,0,18-Oct
2024 General Election,69020,TOWN OF LARRABEE - WAUPACA COUNTY,73,72,19,0,18-Oct
2024 General Election,69022,TOWN OF LEBANON - WAUPACA COUNTY,110,108,53,0,18-Oct
2024 General Election,69024,TOWN OF LIND - WAUPACA COUNTY,118,116,38,0,18-Oct
2024 General Election,69026,TOWN OF LITTLE WOLF - WAUPACA COUNTY,89,89,43,0,18-Oct
2024 General Election,69028,TOWN OF MATTESON - WAUPACA COUNTY,56,56,28,0,18-Oct
2024 General Election,69030,TOWN OF MUKWA - WAUPACA COUNTY,204,202,93,0,18-Oct
2024 General Election,69032,TOWN OF ROYALTON - WAUPACA COUNTY,101,100,40,0,18-Oct
2024 General Election,69034,TOWN OF SAINT LAWRENCE - WAUPACA COUNTY,67,67,34,0,18-Oct
2024 General Election,69036,TOWN OF SCANDINAVIA - WAUPACA COUNTY,117,117,65,0,18-Oct
2024 General Election,69038,TOWN OF UNION - WAUPACA COUNTY,29,28,2,0,18-Oct
2024 General Election,69040,TOWN OF WAUPACA - WAUPACA COUNTY,79,79,38,0,18-Oct
2024 General Election,69042,TOWN OF WEYAUWEGA - WAUPACA COUNTY,24,22,8,0,18-Oct
2024 General Election,69044,TOWN OF WYOMING - WAUPACA COUNTY,13,13,2,0,18-Oct
2024 General Election,69106,VILLAGE OF BIG FALLS - WAUPACA COUNTY,3,3,2,0,18-Oct
2024 General Election,69121,VILLAGE OF EMBARRASS - WAUPACA COUNTY,12,12,12,0,18-Oct
2024 General Election,69126,VILLAGE OF FREMONT - WAUPACA COUNTY,55,55,26,0,18-Oct
2024 General Election,69141,VILLAGE OF IOLA - WAUPACA COUNTY,85,84,48,0,18-Oct
2024 General Election,69165,VILLAGE OF OGDENSBURG - WAUPACA COUNTY,5,5,2,0,18-Oct
2024 General Election,69181,VILLAGE OF SCANDINAVIA - WAUPACA COUNTY,17,17,3,0,18-Oct
2024 General Election,69211,CITY OF CLINTONVILLE - WAUPACA COUNTY,258,222,115,0,18-Oct
2024 General Election,69251,CITY OF MANAWA - WAUPACA COUNTY,60,60,38,0,18-Oct
2024 General Election,69252,CITY OF MARION - MULTIPLE COUNTIES,57,57,26,0,18-Oct
2024 General Election,69261,CITY OF NEW LONDON - MULTIPLE COUNTIES,403,401,213,0,18-Oct
2024 General Election,69291,CITY OF WAUPACA - WAUPACA COUNTY,621,620,379,0,18-Oct
2024 General Election,69292,CITY OF WEYAUWEGA - WAUPACA COUNTY,59,59,34,0,18-Oct
2024 General Election,70002,TOWN OF AURORA - WAUSHARA COUNTY,62,60,33,0,18-Oct
2024 General Election,70004,TOWN OF BLOOMFIELD - WAUSHARA COUNTY,69,69,26,0,18-Oct
2024 General Election,70006,TOWN OF COLOMA - WAUSHARA COUNTY,51,51,29,0,18-Oct
2024 General Election,70008,TOWN OF DAKOTA - WAUSHARA COUNTY,75,75,33,0,18-Oct
2024 General Election,70010,TOWN OF DEERFIELD - WAUSHARA COUNTY,42,41,23,0,18-Oct
2024 General Election,70012,TOWN OF HANCOCK - WAUSHARA COUNTY,44,43,26,0,18-Oct
2024 General Election,70014,TOWN OF LEON - WAUSHARA COUNTY,136,136,77,0,18-Oct
2024 General Election,70016,TOWN OF MARION - WAUSHARA COUNTY,232,229,134,0,18-Oct
2024 General Election,70018,TOWN OF MOUNT MORRIS - WAUSHARA COUNTY,117,116,72,0,18-Oct
2024 General Election,70020,TOWN OF OASIS - WAUSHARA COUNTY,21,21,10,0,18-Oct
2024 General Election,70022,TOWN OF PLAINFIELD - WAUSHARA COUNTY,29,29,21,0,18-Oct
2024 General Election,70024,TOWN OF POY SIPPI - WAUSHARA COUNTY,55,54,25,0,18-Oct
2024 General Election,70026,TOWN OF RICHFORD - WAUSHARA COUNTY,28,28,16,0,18-Oct
2024 General Election,70028,TOWN OF ROSE - WAUSHARA COUNTY,56,56,34,0,18-Oct
2024 General Election,70030,TOWN OF SAXEVILLE - WAUSHARA COUNTY,81,81,32,0,18-Oct
2024 General Election,70032,TOWN OF SPRINGWATER - WAUSHARA COUNTY,152,151,86,0,18-Oct
2024 General Election,70034,TOWN OF WARREN - WAUSHARA COUNTY,33,33,18,0,18-Oct
2024 General Election,70036,TOWN OF WAUTOMA - WAUSHARA COUNTY,87,87,41,0,18-Oct
2024 General Election,70111,VILLAGE OF COLOMA - WAUSHARA COUNTY,17,15,6,0,18-Oct
2024 General Election,70136,VILLAGE OF HANCOCK - WAUSHARA COUNTY,16,16,7,0,18-Oct
2024 General Election,70146,VILLAGE OF LOHRVILLE - WAUSHARA COUNTY,10,10,7,0,18-Oct
2024 General Election,70171,VILLAGE OF PLAINFIELD - WAUSHARA COUNTY,28,28,18,0,18-Oct
2024 General Election,70176,VILLAGE OF REDGRANITE - WAUSHARA COUNTY,26,25,9,0,18-Oct
2024 General Election,70191,VILLAGE OF WILD ROSE - WAUSHARA COUNTY,46,46,25,0,18-Oct
2024 General Election,70291,CITY OF WAUTOMA - WAUSHARA COUNTY,103,103,37,0,18-Oct
2024 General Election,71002,TOWN OF ALGOMA - WINNEBAGO COUNTY,875,872,470,0,18-Oct
2024 General Election,71004,TOWN OF BLACK WOLF - WINNEBAGO COUNTY,284,283,157,0,18-Oct
2024 General Election,71006,TOWN OF CLAYTON - WINNEBAGO COUNTY,574,574,266,0,18-Oct
2024 General Election,71010,TOWN OF NEENAH - WINNEBAGO COUNTY,426,425,181,0,18-Oct
2024 General Election,71012,TOWN OF NEKIMI - WINNEBAGO COUNTY,106,105,0,0,18-Oct
2024 General Election,71014,TOWN OF NEPEUSKUN - WINNEBAGO COUNTY,27,22,10,0,18-Oct
2024 General Election,71016,TOWN OF OMRO - WINNEBAGO COUNTY,286,280,123,0,18-Oct
2024 General Election,71018,TOWN OF OSHKOSH - WINNEBAGO COUNTY,356,356,190,0,18-Oct
2024 General Election,71020,TOWN OF POYGAN - WINNEBAGO COUNTY,86,85,38,0,18-Oct
2024 General Election,71022,TOWN OF RUSHFORD - WINNEBAGO COUNTY,117,115,47,0,18-Oct
2024 General Election,71024,TOWN OF UTICA - WINNEBAGO COUNTY,90,90,34,0,18-Oct
2024 General Election,71026,TOWN OF VINLAND - WINNEBAGO COUNTY,176,176,97,0,18-Oct
2024 General Election,71028,TOWN OF WINCHESTER - WINNEBAGO COUNTY,183,182,93,0,18-Oct
2024 General Election,71030,TOWN OF WINNECONNE - WINNEBAGO COUNTY,264,264,128,0,18-Oct
2024 General Election,71032,TOWN OF WOLF RIVER - WINNEBAGO COUNTY,103,103,53,0,18-Oct
